Index,Original_Index,Num_c,SMILES,SMILES_Salt,Halide_Type
132,67,10,CCC[N+](C)(C)CCC(C)C,CCC[N+](C)(C)CCC(C)C.[Cl-],Chloride
133,68,10,CCC[N+](C)(CC)C(C)(C)C,CCC[N+](C)(CC)C(C)(C)C.[Br-],Bromide
134,68,10,CCC[N+](C)(CC)C(C)(C)C,CCC[N+](C)(CC)C(C)(C)C.[Cl-],Chloride
135,69,10,CCC[N+](C)(CC)CC(C)C,CCC[N+](C)(CC)CC(C)C.[Br-],Bromide
136,69,10,CCC[N+](C)(CC)CC(C)C,CCC[N+](C)(CC)CC(C)C.[Cl-],Chloride
137,70,10,CCC[N+](C)(CCC)C(C)C,CCC[N+](C)(CCC)C(C)C.[Br-],Bromide
138,70,10,CCC[N+](C)(CCC)C(C)C,CCC[N+](C)(CCC)C(C)C.[Cl-],Chloride
139,71,10,CCC[N+](C)(CCC)CCC,CCC[N+](C)(CCC)CCC.[Br-],Bromide
140,71,10,CCC[N+](C)(CCC)CCC,CCC[N+](C)(CCC)CCC.[Cl-],Chloride
141,72,10,CCC[N+](CC)(CC)C(C)C,CCC[N+](CC)(CC)C(C)C.[Br-],Bromide
142,72,10,CCC[N+](CC)(CC)C(C)C,CCC[N+](CC)(CC)C(C)C.[Cl-],Chloride
143,73,10,CCC[N+](CC)(CC)CCC,CCC[N+](CC)(CC)CCC.[Br-],Bromide
144,73,10,CCC[N+](CC)(CC)CCC,CCC[N+](CC)(CC)CCC.[Cl-],Chloride
145,74,10,CC[N+](C)(C(C)C)C(C)(C)C,CC[N+](C)(C(C)C)C(C)(C)C.[Br-],Bromide
146,74,10,CC[N+](C)(C(C)C)C(C)(C)C,CC[N+](C)(C(C)C)C(C)(C)C.[Cl-],Chloride
147,75,10,CC[N+](C)(CC(C)C)C(C)C,CC[N+](C)(CC(C)C)C(C)C.[Br-],Bromide
148,75,10,CC[N+](C)(CC(C)C)C(C)C,CC[N+](C)(CC(C)C)C(C)C.[Cl-],Chloride
149,76,10,CC[N+](C)(CC)CCC(C)C,CC[N+](C)(CC)CCC(C)C.[Br-],Bromide
150,76,10,CC[N+](C)(CC)CCC(C)C,CC[N+](C)(CC)CCC(C)C.[Cl-],Chloride
151,77,10,CC[N+](CC)(C(C)C)C(C)C,CC[N+](CC)(C(C)C)C(C)C.[Br-],Bromide
152,77,10,CC[N+](CC)(C(C)C)C(C)C,CC[N+](CC)(C(C)C)C(C)C.[Cl-],Chloride
153,78,10,CC[N+](CC)(CC)C(C)(C)C,CC[N+](CC)(CC)C(C)(C)C.[Br-],Bromide
154,78,10,CC[N+](CC)(CC)C(C)(C)C,CC[N+](CC)(CC)C(C)(C)C.[Cl-],Chloride
155,79,10,CC[N+](CC)(CC)CC(C)C,CC[N+](CC)(CC)CC(C)C.[Br-],Bromide
