Index,Num_c,SMILES
198,18,CCCCCCCCCCCCC[N+](C)(CC)CC
199,18,CCCCCCCCCCCC[N+](C)(C)CCCC
200,18,CCCCCCCCCCCC[N+](C)(CC)CCC
201,18,CCCCCCCCCCCC[N+](CC)(CC)CC
202,18,CCCCCCCCCCC[N+](C)(C)CCCCC
203,18,CCCCCCCCCCC[N+](C)(CC)CCCC
204,18,CCCCCCCCCCC[N+](C)(CCC)CCC
205,18,CCCCCCCCCCC[N+](CC)(CC)CCC
206,18,CCCCCCCCCC[N+](C)(C)CCCCCC
207,18,CCCCCCCCCC[N+](C)(CC)CCCCC
208,18,CCCCCCCCCC[N+](C)(CCC)CCCC
209,18,CCCCCCCCCC[N+](CC)(CC)CCCC
210,18,CCCCCCCCCC[N+](CC)(CCC)CCC
211,18,CCCCCCCCC[N+](C)(C)CCCCCCC
212,18,CCCCCCCCC[N+](C)(CC)CCCCCC
213,18,CCCCCCCCC[N+](C)(CCC)CCCCC
214,18,CCCCCCCCC[N+](C)(CCCC)CCCC
215,18,CCCCCCCCC[N+](CC)(CC)CCCCC
216,18,CCCCCCCCC[N+](CC)(CCC)CCCC
217,18,CCCCCCCCC[N+](CCC)(CCC)CCC
218,18,CCCCCCCC[N+](C)(C)CCCCCCCC
219,18,CCCCCCCC[N+](C)(CC)CCCCCCC
220,18,CCCCCCCC[N+](C)(CCC)CCCCCC
221,18,CCCCCCCC[N+](C)(CCCC)CCCCC
222,18,CCCCCCCC[N+](CC)(CC)CCCCCC
223,18,CCCCCCCC[N+](CC)(CCC)CCCCC
224,18,CCCCCCCC[N+](CC)(CCCC)CCCC
225,18,CCCCCCCC[N+](CCC)(CCC)CCCC
226,18,CCCCCCC[N+](C)(CCC)CCCCCCC
227,18,CCCCCCC[N+](C)(CCCC)CCCCCC
228,18,CCCCCCC[N+](C)(CCCCC)CCCCC
229,18,CCCCCCC[N+](CC)(CC)CCCCCCC
230,18,CCCCCCC[N+](CC)(CCC)CCCCCC
231,18,CCCCCCC[N+](CC)(CCCC)CCCCC
232,18,CCCCCCC[N+](CCC)(CCC)CCCCC
233,18,CCCCCCC[N+](CCC)(CCCC)CCCC
234,18,CCCCCC[N+](C)(CCCCC)CCCCCC
235,18,CCCCCC[N+](CC)(CCCC)CCCCCC
236,18,CCCCCC[N+](CC)(CCCCC)CCCCC
237,18,CCCCCC[N+](CCC)(CCC)CCCCCC
238,18,CCCCCC[N+](CCC)(CCCC)CCCCC
239,18,CCCCCC[N+](CCCC)(CCCC)CCCC
240,18,CCCCC[N+](CCC)(CCCCC)CCCCC
241,18,CCCCC[N+](CCCC)(CCCC)CCCCC
242,19,CCCCCCCCCCCCCCCC[N+](C)(C)C
243,19,CCCCCCCCCCCCCCC[N+](C)(C)CC
244,19,CCCCCCCCCCCCCC[N+](C)(C)CCC
245,19,CCCCCCCCCCCCCC[N+](C)(CC)CC
246,19,CCCCCCCCCCCCC[N+](C)(C)CCCC
247,19,CCCCCCCCCCCCC[N+](C)(CC)CCC
248,19,CCCCCCCCCCCCC[N+](CC)(CC)CC
249,19,CCCCCCCCCCCC[N+](C)(C)CCCCC
250,19,CCCCCCCCCCCC[N+](C)(CC)CCCC
251,19,CCCCCCCCCCCC[N+](C)(CCC)CCC
252,19,CCCCCCCCCCCC[N+](CC)(CC)CCC
253,19,CCCCCCCCCCC[N+](C)(C)CCCCCC
254,19,CCCCCCCCCCC[N+](C)(CC)CCCCC
255,19,CCCCCCCCCCC[N+](C)(CCC)CCCC
256,19,CCCCCCCCCCC[N+](CC)(CC)CCCC
257,19,CCCCCCCCCCC[N+](CC)(CCC)CCC
258,19,CCCCCCCCCC[N+](C)(C)CCCCCCC
259,19,CCCCCCCCCC[N+](C)(CC)CCCCCC
260,19,CCCCCCCCCC[N+](C)(CCC)CCCCC
261,19,CCCCCCCCCC[N+](C)(CCCC)CCCC
262,19,CCCCCCCCCC[N+](CC)(CC)CCCCC
263,19,CCCCCCCCCC[N+](CC)(CCC)CCCC
264,19,CCCCCCCCCC[N+](CCC)(CCC)CCC
265,19,CCCCCCCCC[N+](C)(C)CCCCCCCC
266,19,CCCCCCCCC[N+](C)(CC)CCCCCCC
267,19,CCCCCCCCC[N+](C)(CCC)CCCCCC
268,19,CCCCCCCCC[N+](C)(CCCC)CCCCC
269,19,CCCCCCCCC[N+](CC)(CC)CCCCCC
270,19,CCCCCCCCC[N+](CC)(CCC)CCCCC
271,19,CCCCCCCCC[N+](CC)(CCCC)CCCC
272,19,CCCCCCCCC[N+](CCC)(CCC)CCCC
273,19,CCCCCCCC[N+](C)(CC)CCCCCCCC
274,19,CCCCCCCC[N+](C)(CCC)CCCCCCC
275,19,CCCCCCCC[N+](C)(CCCC)CCCCCC
276,19,CCCCCCCC[N+](C)(CCCCC)CCCCC
277,19,CCCCCCCC[N+](CC)(CC)CCCCCCC
278,19,CCCCCCCC[N+](CC)(CCC)CCCCCC
279,19,CCCCCCCC[N+](CC)(CCCC)CCCCC
280,19,CCCCCCCC[N+](CCC)(CCC)CCCCC
281,19,CCCCCCCC[N+](CCC)(CCCC)CCCC
282,19,CCCCCCC[N+](C)(CCCC)CCCCCCC
283,19,CCCCCCC[N+](C)(CCCCC)CCCCCC
284,19,CCCCCCC[N+](CC)(CCC)CCCCCCC
285,19,CCCCCCC[N+](CC)(CCCC)CCCCCC
286,19,CCCCCCC[N+](CC)(CCCCC)CCCCC
287,19,CCCCCCC[N+](CCC)(CCC)CCCCCC
288,19,CCCCCCC[N+](CCC)(CCCC)CCCCC
289,19,CCCCCCC[N+](CCCC)(CCCC)CCCC
290,19,CCCCCC[N+](C)(CCCCCC)CCCCCC
291,19,CCCCCC[N+](CC)(CCCCC)CCCCCC
292,19,CCCCCC[N+](CCC)(CCCC)CCCCCC
293,19,CCCCCC[N+](CCC)(CCCCC)CCCCC
294,19,CCCCCC[N+](CCCC)(CCCC)CCCCC
295,19,CCCCC[N+](CCCC)(CCCCC)CCCCC
296,20,CCCCCCCCCCCCCCCC[N+](C)(C)CC
297,20,CCCCCCCCCCCCCCC[N+](C)(C)CCC
298,20,CCCCCCCCCCCCCCC[N+](C)(CC)CC
299,20,CCCCCCCCCCCCCC[N+](C)(C)CCCC
300,20,CCCCCCCCCCCCCC[N+](C)(CC)CCC
301,20,CCCCCCCCCCCCCC[N+](CC)(CC)CC
302,20,CCCCCCCCCCCCC[N+](C)(C)CCCCC
303,20,CCCCCCCCCCCCC[N+](C)(CC)CCCC
304,20,CCCCCCCCCCCCC[N+](C)(CCC)CCC
305,20,CCCCCCCCCCCCC[N+](CC)(CC)CCC
306,20,CCCCCCCCCCCC[N+](C)(C)CCCCCC
307,20,CCCCCCCCCCCC[N+](C)(CC)CCCCC
308,20,CCCCCCCCCCCC[N+](C)(CCC)CCCC
309,20,CCCCCCCCCCCC[N+](CC)(CC)CCCC
310,20,CCCCCCCCCCCC[N+](CC)(CCC)CCC
311,20,CCCCCCCCCCC[N+](C)(C)CCCCCCC
312,20,CCCCCCCCCCC[N+](C)(CC)CCCCCC
313,20,CCCCCCCCCCC[N+](C)(CCC)CCCCC
314,20,CCCCCCCCCCC[N+](C)(CCCC)CCCC
315,20,CCCCCCCCCCC[N+](CC)(CC)CCCCC
316,20,CCCCCCCCCCC[N+](CC)(CCC)CCCC
317,20,CCCCCCCCCCC[N+](CCC)(CCC)CCC
318,20,CCCCCCCCCC[N+](C)(C)CCCCCCCC
319,20,CCCCCCCCCC[N+](C)(CC)CCCCCCC
320,20,CCCCCCCCCC[N+](C)(CCC)CCCCCC
321,20,CCCCCCCCCC[N+](C)(CCCC)CCCCC
322,20,CCCCCCCCCC[N+](CC)(CC)CCCCCC
323,20,CCCCCCCCCC[N+](CC)(CCC)CCCCC
324,20,CCCCCCCCCC[N+](CC)(CCCC)CCCC
325,20,CCCCCCCCCC[N+](CCC)(CCC)CCCC
326,20,CCCCCCCCC[N+](C)(C)CCCCCCCCC
327,20,CCCCCCCCC[N+](C)(CC)CCCCCCCC
328,20,CCCCCCCCC[N+](C)(CCC)CCCCCCC
329,20,CCCCCCCCC[N+](C)(CCCC)CCCCCC
330,20,CCCCCCCCC[N+](C)(CCCCC)CCCCC
331,20,CCCCCCCCC[N+](CC)(CC)CCCCCCC
332,20,CCCCCCCCC[N+](CC)(CCC)CCCCCC
333,20,CCCCCCCCC[N+](CC)(CCCC)CCCCC
334,20,CCCCCCCCC[N+](CCC)(CCC)CCCCC
335,20,CCCCCCCCC[N+](CCC)(CCCC)CCCC
336,20,CCCCCCCC[N+](C)(CCC)CCCCCCCC
337,20,CCCCCCCC[N+](C)(CCCC)CCCCCCC
338,20,CCCCCCCC[N+](C)(CCCCC)CCCCCC
339,20,CCCCCCCC[N+](CC)(CC)CCCCCCCC
340,20,CCCCCCCC[N+](CC)(CCC)CCCCCCC
341,20,CCCCCCCC[N+](CC)(CCCC)CCCCCC
342,20,CCCCCCCC[N+](CC)(CCCCC)CCCCC
343,20,CCCCCCCC[N+](CCC)(CCC)CCCCCC
344,20,CCCCCCCC[N+](CCC)(CCCC)CCCCC
345,20,CCCCCCCC[N+](CCCC)(CCCC)CCCC
346,20,CCCCCCC[N+](C)(CCCCC)CCCCCCC
