Index,Num_c,SMILES,smiles,exists,cid,name,molecular_weight
59,10,CCCC[N+](C)(C)C(C)(C)C,CCCC[N+](C)(C)C(C)(C)C,True,22044338.0,butyl-tert-butyl-dimethylazanium,158.3
60,10,CCCC[N+](C)(C)CC(C)C,CCCC[N+](C)(C)CC(C)C,True,22044341.0,butyl-dimethyl-(2-methylpropyl)azanium,158.3
61,10,CCCC[N+](C)(C)CCCC,CCCC[N+](C)(C)CCCC,True,18615673.0,dibutyl(dimethyl)azanium,158.3
62,10,CCCC[N+](C)(CC)C(C)C,CCCC[N+](C)(CC)C(C)C,True,59061257.0,butyl-ethyl-methyl-propan-2-ylazanium,158.3
63,10,CCCC[N+](C)(CC)CCC,CCCC[N+](C)(CC)CCC,True,20268953.0,butyl-ethyl-methyl-propylazanium,158.3
64,10,CCCC[N+](CC)(CC)CC,CCCC[N+](CC)(CC)CC,True,45719.0,butyl(triethyl)azanium,158.3
65,10,CCC[N+](C)(C(C)C)C(C)C,CCC[N+](C)(C(C)C)C(C)C,True,22044303.0,methyl-di(propan-2-yl)-propylazanium,158.3
66,10,CCC[N+](C)(C)CC(C)CC,CCC[N+](C)(C)CC(C)CC,True,18715935.0,dimethyl-(2-methylbutyl)-propylazanium,158.3
67,10,CCC[N+](C)(C)CCC(C)C,CCC[N+](C)(C)CCC(C)C,True,90967482.0,dimethyl-(3-methylbutyl)-propylazanium,158.3
68,10,CCC[N+](C)(CC)C(C)(C)C,CCC[N+](C)(CC)C(C)(C)C,True,87916194.0,tert-butyl-ethyl-methyl-propylazanium,158.3
69,10,CCC[N+](C)(CC)CC(C)C,CCC[N+](C)(CC)CC(C)C,True,44719323.0,ethyl-methyl-(2-methylpropyl)-propylazanium,158.3
70,10,CCC[N+](C)(CCC)C(C)C,CCC[N+](C)(CCC)C(C)C,True,22044320.0,methyl-propan-2-yl-dipropylazanium,158.3
71,10,CCC[N+](C)(CCC)CCC,CCC[N+](C)(CCC)CCC,True,77068.0,methyl(tripropyl)azanium,158.3
72,10,CCC[N+](CC)(CC)C(C)C,CCC[N+](CC)(CC)C(C)C,True,22044352.0,diethyl-propan-2-yl-propylazanium,158.3
73,10,CCC[N+](CC)(CC)CCC,CCC[N+](CC)(CC)CCC,True,13879586.0,diethyl(dipropyl)azanium,158.3
74,10,CC[N+](C)(C(C)C)C(C)(C)C,CC[N+](C)(C(C)C)C(C)(C)C,True,87916186.0,tert-butyl-ethyl-methyl-propan-2-ylazanium,158.3
75,10,CC[N+](C)(CC(C)C)C(C)C,CC[N+](C)(CC(C)C)C(C)C,True,19814723.0,ethyl-methyl-(2-methylpropyl)-propan-2-ylazanium,158.3
