Index,Num_c,SMILES,cid,name,molecular_weight
109,12,CCCCCC[N+](C)(C)CCCC,23088839.0,butyl-hexyl-dimethylazanium,186.36
110,12,CCCCCC[N+](C)(CC)C(C)C,152947076.0,ethyl-hexyl-methyl-propan-2-ylazanium,186.36
111,12,CCCCCC[N+](C)(CC)CCC,87446870.0,ethyl-hexyl-methyl-propylazanium,186.36
112,12,CCCCCC[N+](CC)(CC)CC,193021.0,triethyl(hexyl)azanium,186.36
113,12,CCCCC[N+](C)(C(C)C)C(C)C,86155885.0,methyl-pentyl-di(propan-2-yl)azanium,186.36
114,12,CCCCC[N+](C)(C)CCCCC,11149782.0,dimethyl(dipentyl)azanium,186.36
117,12,CCCCC[N+](C)(CC)CCCC,87508333.0,butyl-ethyl-methyl-pentylazanium,186.36
119,12,CCCCC[N+](C)(CCC)CCC,23088840.0,methyl-pentyl-dipropylazanium,186.36
121,12,CCCCC[N+](CC)(CC)CCC,23088853.0,diethyl-pentyl-propylazanium,186.36
125,12,CCCC[N+](C)(CCC)CC(C)C,20341239.0,butyl-methyl-(2-methylpropyl)-propylazanium,186.36
126,12,CCCC[N+](C)(CCC)CCCC,87508941.0,dibutyl-methyl-propylazanium,186.36
127,12,CCCC[N+](C)(CCCC)C(C)C,140694488.0,dibutyl-methyl-propan-2-ylazanium,186.36
131,12,CCCC[N+](CC)(CC)CCCC,45730.0,dibutyl(diethyl)azanium,186.36
133,12,CCCC[N+](CC)(CCC)CCC,87824094.0,butyl-ethyl-dipropylazanium,186.36
134,12,CCC[N+](C(C)C)(C(C)C)C(C)C,22044314.0,tri(propan-2-yl)-propylazanium,186.36
141,12,CCC[N+](CC)(CCC)CC(C)C,87478720.0,ethyl-(2-methylpropyl)-dipropylazanium,186.36
142,12,CCC[N+](CCC)(C(C)C)C(C)C,22044304.0,di(propan-2-yl)-dipropylazanium,186.36
143,12,CCC[N+](CCC)(CCC)C(C)C,22044300.0,propan-2-yl(tripropyl)azanium,186.36
144,12,CCC[N+](CCC)(CCC)CCC,9559.0,tetrapropylazanium,186.36
145,12,CC[N+](C(C)C)(C(C)C)C(C)(C)C,171727410.0,tert-butyl-ethyl-di(propan-2-yl)azanium,186.36
