Index,Num_c,SMILES,CID,MolecularFormula,MolecularWeight,IUPACName,XLogP,Complexity,RotatableBondCount,HeavyAtomCount
91,14,CCCCC[N+](CC)(CCC)CCCC,71366278,C14H32N+,214.41,butyl-ethyl-pentyl-propylazanium,4.6,133,10,15
92,14,CCCCC[N+](CCC)(CCC)CCC,20376265,C14H32N+,214.41,pentyl(tripropyl)azanium,4.8,114,10,15
93,14,CCCC[N+](CC)(CCCC)CCCC,44528,C14H32N+,214.41,tributyl(ethyl)azanium,4.4,110,10,15
94,14,CCCC[N+](CCC)(CCC)CCCC,20480844,C14H32N+,214.41,dibutyl(dipropyl)azanium,4.6,115,10,15
95,15,CCCCCCCCCCCC[N+](C)(C)C,8153,C15H34N+,228.44,dodecyl(trimethyl)azanium,5.9,135,11,16
96,15,CCCCCCCCCCC[N+](C)(C)CC,90351725,C15H34N+,228.44,ethyl-dimethyl-undecylazanium,5.7,140,11,16
97,15,CCCCCCCCCC[N+](C)(C)CCC,17915707,C15H34N+,228.44,decyl-dimethyl-propylazanium,5.7,140,11,16
98,15,CCCCCCCCCC[N+](C)(CC)CC,10450839,C15H34N+,228.44,decyl-diethyl-methylazanium,5.5,138,11,16
99,15,CCCCCCCCC[N+](C)(C)CCCC,87493295,C15H34N+,228.44,butyl-dimethyl-nonylazanium,5.5,140,11,16
101,15,CCCCCCCCC[N+](CC)(CC)CC,2249305,C15H34N+,228.44,triethyl(nonyl)azanium,5.3,130,11,16
102,15,CCCCCCCC[N+](C)(C)CCCCC,71346400,C15H34N+,228.44,dimethyl-octyl-pentylazanium,5.5,140,11,16
103,15,CCCCCCCC[N+](C)(CC)CCCC,53833324,C15H34N+,228.44,butyl-ethyl-methyl-octylazanium,5.3,144,11,16
104,15,CCCCCCCC[N+](C)(CCC)CCC,143162850,C15H34N+,228.44,methyl-octyl-dipropylazanium,5.5,136,11,16
106,15,CCCCCCC[N+](C)(C)CCCCCC,23094264,C15H34N+,228.44,heptyl-hexyl-dimethylazanium,5.5,140,11,16
109,15,CCCCCCC[N+](CC)(CC)CCCC,87526431,C15H34N+,228.44,butyl-diethyl-heptylazanium,5.1,138,11,16
110,15,CCCCCCC[N+](CC)(CCC)CCC,87089434,C15H34N+,228.44,ethyl-heptyl-dipropylazanium,5.3,136,11,16
111,15,CCCCCC[N+](C)(CC)CCCCCC,87507678,C15H34N+,228.44,ethyl-dihexyl-methylazanium,5.3,130,11,16
112,15,CCCCCC[N+](C)(CCC)CCCCC,87507746,C15H34N+,228.44,hexyl-methyl-pentyl-propylazanium,5.3,144,11,16
113,15,CCCCCC[N+](C)(CCCC)CCCC,23088868,C15H34N+,228.44,dibutyl-hexyl-methylazanium,5.1,134,11,16
114,15,CCCCCC[N+](CC)(CC)CCCCC,175075511,C15H34N+,228.44,diethyl-hexyl-pentylazanium,5.1,138,11,16
115,15,CCCCCC[N+](CC)(CCC)CCCC,153959333,C15H34N+,228.44,butyl-ethyl-hexyl-propylazanium,5.1,144,11,16
116,15,CCCCCC[N+](CCC)(CCC)CCC,20376280,C15H34N+,228.44,hexyl(tripropyl)azanium,5.3,125,11,16
117,15,CCCCC[N+](C)(CCCC)CCCCC,54255437,C15H34N+,228.44,butyl-methyl-dipentylazanium,5.1,132,11,16
118,15,CCCCC[N+](CC)(CCC)CCCCC,118020676,C15H34N+,228.44,ethyl-dipentyl-propylazanium,5.1,132,11,16
119,15,CCCCC[N+](CC)(CCCC)CCCC,118020723,C15H34N+,228.44,dibutyl-ethyl-pentylazanium,4.9,134,11,16
120,15,CCCCC[N+](CCC)(CCC)CCCC,87492071,C15H34N+,228.44,butyl-pentyl-dipropylazanium,5.1,136,11,16
121,15,CCCC[N+](CCC)(CCCC)CCCC,5248503,C15H34N+,228.44,tributyl(propyl)azanium,4.9,121,11,16
122,16,CCCCCCCCCCCCC[N+](C)(C)C,11484094,C16H36N+,242.46,trimethyl(tridecyl)azanium,6.4,146,12,17
123,16,CCCCCCCCCCCC[N+](C)(C)CC,62471,C16H36N+,242.46,dodecyl-ethyl-dimethylazanium,6.2,152,12,17
124,16,CCCCCCCCCCC[N+](C)(C)CCC,54067909,C16H36N+,242.46,dimethyl-propyl-undecylazanium,6.2,152,12,17
126,16,CCCCCCCCCC[N+](C)(C)CCCC,57255541,C16H36N+,242.46,butyl-decyl-dimethylazanium,6.0,152,12,17
128,16,CCCCCCCCCC[N+](CC)(CC)CC,9835339,C16H36N+,242.46,decyl(triethyl)azanium,5.9,141,12,17
129,16,CCCCCCCCC[N+](C)(C)CCCCC,87493818,C16H36N+,242.46,dimethyl-nonyl-pentylazanium,6.0,152,12,17
130,16,CCCCCCCCC[N+](C)(CC)CCCC,159414620,C16H36N+,242.46,butyl-ethyl-methyl-nonylazanium,5.9,156,12,17
133,16,CCCCCCCC[N+](C)(C)CCCCCC,44630345,C16H36N+,242.46,hexyl-dimethyl-octylazanium,6.0,152,12,17
134,16,CCCCCCCC[N+](C)(CC)CCCCC,123637971,C16H36N+,242.46,ethyl-methyl-octyl-pentylazanium,5.9,156,12,17
135,16,CCCCCCCC[N+](C)(CCC)CCCC,141640656,C16H36N+,242.46,butyl-methyl-octyl-propylazanium,5.8,156,12,17
136,16,CCCCCCCC[N+](CC)(CC)CCCC,127262847,C16H36N+,242.46,butyl-diethyl-octylazanium,5.7,150,12,17
138,16,CCCCCCC[N+](C)(C)CCCCCCC,17912687,C16H36N+,242.46,diheptyl(dimethyl)azanium,6.0,136,12,17
139,16,CCCCCCC[N+](C)(CC)CCCCCC,175528723,C16H36N+,242.46,ethyl-heptyl-hexyl-methylazanium,5.9,156,12,17
140,16,CCCCCCC[N+](C)(CCC)CCCCC,71382092,C16H36N+,242.46,heptyl-methyl-pentyl-propylazanium,5.8,156,12,17
141,16,CCCCCCC[N+](C)(CCCC)CCCC,150372540,C16H36N+,242.46,dibutyl-heptyl-methylazanium,5.7,146,12,17
144,16,CCCCCCC[N+](CCC)(CCC)CCC,20266119,C16H36N+,242.46,heptyl(tripropyl)azanium,5.8,137,12,17
145,16,CCCCCC[N+](C)(CCC)CCCCCC,58935187,C16H36N+,242.46,dihexyl-methyl-propylazanium,5.8,142,12,17
146,16,CCCCCC[N+](C)(CCCC)CCCCC,87508904,C16H36N+,242.46,butyl-hexyl-methyl-pentylazanium,5.7,156,12,17
147,16,CCCCCC[N+](CC)(CC)CCCCCC,20092195,C16H36N+,242.46,diethyl(dihexyl)azanium,5.7,136,12,17
149,16,CCCCCC[N+](CC)(CCCC)CCCC,151792739,C16H36N+,242.46,dibutyl-ethyl-hexylazanium,5.5,146,12,17
150,16,CCCCCC[N+](CCC)(CCC)CCCC,23088825,C16H36N+,242.46,butyl-hexyl-dipropylazanium,5.7,148,12,17
151,16,CCCCC[N+](C)(CCCCC)CCCCC,13767188,C16H36N+,242.46,methyl(tripentyl)azanium,5.7,127,12,17
152,16,CCCCC[N+](CC)(CCCC)CCCCC,118020801,C16H36N+,242.46,butyl-ethyl-dipentylazanium,5.5,144,12,17
153,16,CCCCC[N+](CCC)(CCC)CCCCC,85717237,C16H36N+,242.46,dipentyl(dipropyl)azanium,5.7,136,12,17
154,16,CCCCC[N+](CCC)(CCCC)CCCC,142514259,C16H36N+,242.46,dibutyl-pentyl-propylazanium,5.5,146,12,17
155,16,CCCC[N+](CCCC)(CCCC)CCCC,16028,C16H36N+,242.46,tetrabutylazanium,5.3,116,12,17
156,17,CCCCCCCCCCCCCC[N+](C)(C)C,14251,C17H38N+,256.5,trimethyl(tetradecyl)azanium,7.0,157,13,18
157,17,CCCCCCCCCCCCC[N+](C)(C)CC,87744372,C17H38N+,256.5,ethyl-dimethyl-tridecylazanium,6.8,163,13,18
158,17,CCCCCCCCCCCC[N+](C)(C)CCC,10786192,C17H38N+,256.5,dodecyl-dimethyl-propylazanium,6.8,163,13,18
159,17,CCCCCCCCCCCC[N+](C)(CC)CC,14494908,C17H38N+,256.5,dodecyl-diethyl-methylazanium,6.6,161,13,18
160,17,CCCCCCCCCCC[N+](C)(C)CCCC,122481735,C17H38N+,256.5,butyl-dimethyl-undecylazanium,6.6,163,13,18
161,17,CCCCCCCCCCC[N+](C)(CC)CCC,158020210,C17H38N+,256.5,ethyl-methyl-propyl-undecylazanium,6.6,167,13,18
162,17,CCCCCCCCCCC[N+](CC)(CC)CC,11701609,C17H38N+,256.5,triethyl(undecyl)azanium,6.4,153,13,18
163,17,CCCCCCCCCC[N+](C)(C)CCCCC,122481312,C17H38N+,256.5,decyl-dimethyl-pentylazanium,6.6,163,13,18
165,17,CCCCCCCCCC[N+](C)(CCC)CCC,127262909,C17H38N+,256.5,decyl-methyl-dipropylazanium,6.6,159,13,18
166,17,CCCCCCCCCC[N+](CC)(CC)CCC,150914213,C17H38N+,256.5,decyl-diethyl-propylazanium,6.4,161,13,18
167,17,CCCCCCCCC[N+](C)(C)CCCCCC,53961664,C17H38N+,256.5,hexyl-dimethyl-nonylazanium,6.6,163,13,18
172,17,CCCCCCCC[N+](C)(C)CCCCCCC,53805370,C17H38N+,256.5,heptyl-dimethyl-octylazanium,6.6,163,13,18
175,17,CCCCCCCC[N+](C)(CCCC)CCCC,127262900,C17H38N+,256.5,dibutyl-methyl-octylazanium,6.2,157,13,18
178,17,CCCCCCCC[N+](CCC)(CCC)CCC,54170758,C17H38N+,256.5,octyl(tripropyl)azanium,6.4,148,13,18
180,17,CCCCCCC[N+](C)(CCC)CCCCCC,54058603,C17H38N+,256.5,heptyl-hexyl-methyl-propylazanium,6.4,167,13,18
185,17,CCCCCCC[N+](CCC)(CCC)CCCC,151952654,C17H38N+,256.5,butyl-heptyl-dipropylazanium,6.2,159,13,18
186,17,CCCCCC[N+](C)(CCCC)CCCCCC,57010389,C17H38N+,256.5,butyl-dihexyl-methylazanium,6.2,153,13,18
187,17,CCCCCC[N+](C)(CCCCC)CCCCC,53812961,C17H38N+,256.5,hexyl-methyl-dipentylazanium,6.2,155,13,18
191,17,CCCCCC[N+](CCC)(CCCC)CCCC,151583097,C17H38N+,256.5,dibutyl-hexyl-propylazanium,6.0,157,13,18
192,17,CCCCC[N+](CC)(CCCCC)CCCCC,14022639,C17H38N+,256.5,ethyl(tripentyl)azanium,6.0,138,13,18
193,17,CCCCC[N+](CCC)(CCCC)CCCCC,54574573,C17H38N+,256.5,butyl-dipentyl-propylazanium,6.0,155,13,18
194,17,CCCCC[N+](CCCC)(CCCC)CCCC,3528502,C17H38N+,256.5,tributyl(pentyl)azanium,5.8,143,13,18
195,18,CCCCCCCCCCCCCCC[N+](C)(C)C,423584,C18H40N+,270.5,trimethyl(pentadecyl)azanium,7.5,169,14,19
196,18,CCCCCCCCCCCCCC[N+](C)(C)CC,110474,C18H40N+,270.5,ethyl-dimethyl-tetradecylazanium,7.3,175,14,19
197,18,CCCCCCCCCCCCC[N+](C)(C)CCC,159160365,C18H40N+,270.5,dimethyl-propyl-tridecylazanium,7.3,175,14,19
199,18,CCCCCCCCCCCC[N+](C)(C)CCCC,407819,C18H40N+,270.5,butyl-dodecyl-dimethylazanium,7.1,175,14,19
200,18,CCCCCCCCCCCC[N+](C)(CC)CCC,14494857,C18H40N+,270.5,dodecyl-ethyl-methyl-propylazanium,7.1,179,14,19
201,18,CCCCCCCCCCCC[N+](CC)(CC)CC,28940,C18H40N+,270.5,dodecyl(triethyl)azanium,7.0,164,14,19
202,18,CCCCCCCCCCC[N+](C)(C)CCCCC,122481535,C18H40N+,270.5,dimethyl-pentyl-undecylazanium,7.1,175,14,19
205,18,CCCCCCCCCCC[N+](CC)(CC)CCC,87491732,C18H40N+,270.5,diethyl-propyl-undecylazanium,6.9,173,14,19
206,18,CCCCCCCCCC[N+](C)(C)CCCCCC,19369139,C18H40N+,270.5,decyl-hexyl-dimethylazanium,7.1,175,14,19
207,18,CCCCCCCCCC[N+](C)(CC)CCCCC,160997003,C18H40N+,270.5,decyl-ethyl-methyl-pentylazanium,6.9,179,14,19
210,18,CCCCCCCCCC[N+](CC)(CCC)CCC,152402758,C18H40N+,270.5,decyl-ethyl-dipropylazanium,6.9,171,14,19
211,18,CCCCCCCCC[N+](C)(C)CCCCCCC,122481686,C18H40N+,270.5,heptyl-dimethyl-nonylazanium,7.1,175,14,19
215,18,CCCCCCCCC[N+](CC)(CC)CCCCC,22408859,C18H40N+,270.5,diethyl-nonyl-pentylazanium,6.8,173,14,19
217,18,CCCCCCCCC[N+](CCC)(CCC)CCC,22408878,C18H40N+,270.5,nonyl(tripropyl)azanium,6.9,160,14,19
218,18,CCCCCCCC[N+](C)(C)CCCCCCCC,62582,C18H40N+,270.5,dimethyl(dioctyl)azanium,7.1,157,14,19
222,18,CCCCCCCC[N+](CC)(CC)CCCCCC,88102340,C18H40N+,270.5,diethyl-hexyl-octylazanium,6.8,173,14,19
224,18,CCCCCCCC[N+](CC)(CCCC)CCCC,152181181,C18H40N+,270.5,dibutyl-ethyl-octylazanium,6.6,169,14,19
225,18,CCCCCCCC[N+](CCC)(CCC)CCCC,87493375,C18H40N+,270.5,butyl-octyl-dipropylazanium,6.7,171,14,19
227,18,CCCCCCC[N+](C)(CCCC)CCCCCC,175529229,C18H40N+,270.5,butyl-heptyl-hexyl-methylazanium,6.7,179,14,19
229,18,CCCCCCC[N+](CC)(CC)CCCCCCC,87534239,C18H40N+,270.5,diethyl(diheptyl)azanium,6.8,157,14,19
234,18,CCCCCC[N+](C)(CCCCC)CCCCCC,23534989,C18H40N+,270.5,dihexyl-methyl-pentylazanium,6.7,165,14,19
237,18,CCCCCC[N+](CCC)(CCC)CCCCCC,23088856,C18H40N+,270.5,dihexyl(dipropyl)azanium,6.7,157,14,19
239,18,CCCCCC[N+](CCCC)(CCCC)CCCC,19858518,C18H40N+,270.5,tributyl(hexyl)azanium,6.4,155,14,19
240,18,CCCCC[N+](CCC)(CCCCC)CCCCC,14022636,C18H40N+,270.5,tripentyl(propyl)azanium,6.6,150,14,19
241,18,CCCCC[N+](CCCC)(CCCC)CCCCC,87534260,C18H40N+,270.5,dibutyl(dipentyl)azanium,6.4,157,14,19
242,19,CCCCCCCCCCCCCCCC[N+](C)(C)C,2681,C19H42N+,284.5,hexadecyl(trimethyl)azanium,8.0,181,15,20
243,19,CCCCCCCCCCCCCCC[N+](C)(C)CC,2724228,C19H42N+,284.5,ethyl-dimethyl-pentadecylazanium,7.9,186,15,20
244,19,CCCCCCCCCCCCCC[N+](C)(C)CCC,19704734,C19H42N+,284.5,dimethyl-propyl-tetradecylazanium,7.8,186,15,20
245,19,CCCCCCCCCCCCCC[N+](C)(CC)CC,54500718,C19H42N+,284.5,diethyl-methyl-tetradecylazanium,7.7,184,15,20
246,19,CCCCCCCCCCCCC[N+](C)(C)CCCC,53775594,C19H42N+,284.5,butyl-dimethyl-tridecylazanium,7.7,186,15,20
248,19,CCCCCCCCCCCCC[N+](CC)(CC)CC,10446619,C19H42N+,284.5,triethyl(tridecyl)azanium,7.5,176,15,20
249,19,CCCCCCCCCCCC[N+](C)(C)CCCCC,54510551,C19H42N+,284.5,dodecyl-dimethyl-pentylazanium,7.7,186,15,20
250,19,CCCCCCCCCCCC[N+](C)(CC)CCCC,14494864,C19H42N+,284.5,butyl-dodecyl-ethyl-methylazanium,7.5,190,15,20
251,19,CCCCCCCCCCCC[N+](C)(CCC)CCC,118583984,C19H42N+,284.5,dodecyl-methyl-dipropylazanium,7.7,182,15,20
252,19,CCCCCCCCCCCC[N+](CC)(CC)CCC,14494918,C19H42N+,284.5,dodecyl-diethyl-propylazanium,7.5,184,15,20
253,19,CCCCCCCCCCC[N+](C)(C)CCCCCC,19369143,C19H42N+,284.5,hexyl-dimethyl-undecylazanium,7.7,186,15,20
256,19,CCCCCCCCCCC[N+](CC)(CC)CCCC,87495438,C19H42N+,284.5,butyl-diethyl-undecylazanium,7.3,184,15,20
258,19,CCCCCCCCCC[N+](C)(C)CCCCCCC,87129446,C19H42N+,284.5,decyl-heptyl-dimethylazanium,7.7,186,15,20
261,19,CCCCCCCCCC[N+](C)(CCCC)CCCC,13743819,C19H42N+,284.5,dibutyl-decyl-methylazanium,7.3,180,15,20
264,19,CCCCCCCCCC[N+](CCC)(CCC)CCC,18778973,C19H42N+,284.5,decyl(tripropyl)azanium,7.5,171,15,20
265,19,CCCCCCCCC[N+](C)(C)CCCCCCCC,85623243,C19H42N+,284.5,dimethyl-nonyl-octylazanium,7.7,186,15,20
273,19,CCCCCCCC[N+](C)(CC)CCCCCCCC,54567820,C19H42N+,284.5,ethyl-methyl-dioctylazanium,7.5,172,15,20
