Index,Num_c,SMILES,CID,IUPACName,XLogP,Volume3D,MolecularWeight,Charge,EffectiveRotorCount3D,RotatableBondCount,TPSA,Complexity,HeavyAtomCount,FeatureCationCount3D,FeatureHydrophobeCount3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,ConformerCount3D
62,13,CCCCCC[N+](C)(CC)CCCC,57165305,butyl-ethyl-hexyl-methylazanium,4.2,183.7,200.38,1,9.0,9,0,122,14,1.0,3.0,10.85,2.43,1.06,10
63,13,CCCCCC[N+](C)(CCC)CCC,87508855,hexyl-methyl-dipropylazanium,4.4,183.5,200.38,1,9.0,9,0,114,14,1.0,4.0,9.33,2.67,1.14,10
64,13,CCCCCC[N+](CC)(CC)CCC,153996761,diethyl-hexyl-propylazanium,4.2,182.5,200.38,1,9.0,9,0,116,14,1.0,3.0,9.94,1.86,1.45,10
65,13,CCCCC[N+](C)(CC)CCCCC,57048141,ethyl-methyl-dipentylazanium,4.2,184.1,200.38,1,9.0,9,0,110,14,1.0,2.0,11.17,2.43,1.05,10
66,13,CCCCC[N+](C)(CCC)CCCC,87508327,butyl-methyl-pentyl-propylazanium,4.2,184.0,200.38,1,9.0,9,0,122,14,1.0,3.0,6.72,4.21,1.22,10
67,13,CCCCC[N+](CC)(CC)CCCC,118020623,butyl-diethyl-pentylazanium,4.1,182.5,200.38,1,9.0,9,0,116,14,1.0,2.0,5.97,3.91,1.34,10
68,13,CCCCC[N+](CC)(CCC)CCC,118020792,ethyl-pentyl-dipropylazanium,4.2,182.5,200.38,1,9.0,9,0,114,14,1.0,3.0,7.0,2.87,1.57,10
69,13,CCCC[N+](C)(CCCC)CCCC,36209,tributyl(methyl)azanium,4.0,183.8,200.38,1,9.0,9,0,98,14,1.0,3.0,5.82,5.82,0.87,10
70,13,CCCC[N+](CC)(CCC)CCCC,5257973,dibutyl-ethyl-propylazanium,4.0,182.2,200.38,1,9.0,9,0,112,14,1.0,3.0,4.81,4.06,1.71,10
71,13,CCCC[N+](CCC)(CCC)CCC,19180,butyl(tripropyl)azanium,4.2,182.2,200.38,1,9.0,9,0,103,14,1.0,4.0,5.03,2.81,2.43,9
72,14,CCCCCCCCCCC[N+](C)(C)C,5228566,trimethyl(undecyl)azanium,5.3,199.7,214.41,1,10.0,10,0,124,15,1.0,1.0,24.53,0.94,0.82,10
73,14,CCCCCCCCCC[N+](C)(C)CC,9974561,decyl-ethyl-dimethylazanium,5.1,198.7,214.41,1,10.0,10,0,129,15,1.0,1.0,22.15,1.16,0.83,10
74,14,CCCCCCCCC[N+](C)(C)CCC,54218218,dimethyl-nonyl-propylazanium,5.1,198.2,214.41,1,10.0,10,0,129,15,1.0,2.0,15.86,2.56,0.86,10
75,14,CCCCCCCCC[N+](C)(CC)CC,157866804,diethyl-methyl-nonylazanium,5.0,197.2,214.41,1,10.0,10,0,127,15,1.0,1.0,18.24,1.42,0.99,10
