Index,Num_c,SMILES,CID,IUPACName,MolecularWeight,Volume3D,HeavyAtomCount,Charge,TPSA,XLogP,Complexity,RotatableBondCount,EffectiveRotorCount3D,HBondDonorCount,HBondAcceptorCount,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCationCount3D,FeatureHydrophobeCount3D,ConformerCount3D,ConformerModelRMSD3D
68,13,CCCCC[N+](CC)(CCC)CCC,118020792,ethyl-pentyl-dipropylazanium,200.38,182.5,14,1,0,4.2,114,9,9.0,0,0,7.0,2.87,1.57,1.0,3.0,10,0.8
69,13,CCCC[N+](C)(CCCC)CCCC,36209,tributyl(methyl)azanium,200.38,183.8,14,1,0,4.0,98,9,9.0,0,0,5.82,5.82,0.87,1.0,3.0,10,0.8
70,13,CCCC[N+](CC)(CCC)CCCC,5257973,dibutyl-ethyl-propylazanium,200.38,182.2,14,1,0,4.0,112,9,9.0,0,0,4.81,4.06,1.71,1.0,3.0,10,0.8
71,13,CCCC[N+](CCC)(CCC)CCC,19180,butyl(tripropyl)azanium,200.38,182.2,14,1,0,4.2,103,9,9.0,0,0,5.03,2.81,2.43,1.0,4.0,9,0.8
72,14,CCCCCCCCCCC[N+](C)(C)C,5228566,trimethyl(undecyl)azanium,214.41,199.7,15,1,0,5.3,124,10,10.0,0,0,24.53,0.94,0.82,1.0,1.0,10,0.8
73,14,CCCCCCCCCC[N+](C)(C)CC,9974561,decyl-ethyl-dimethylazanium,214.41,198.7,15,1,0,5.1,129,10,10.0,0,0,22.15,1.16,0.83,1.0,1.0,10,1.0
74,14,CCCCCCCCC[N+](C)(C)CCC,54218218,dimethyl-nonyl-propylazanium,214.41,198.2,15,1,0,5.1,129,10,10.0,0,0,15.86,2.56,0.86,1.0,2.0,10,0.8
75,14,CCCCCCCCC[N+](C)(CC)CC,157866804,diethyl-methyl-nonylazanium,214.41,197.2,15,1,0,5.0,127,10,10.0,0,0,18.24,1.42,0.99,1.0,1.0,10,0.8
76,14,CCCCCCCC[N+](C)(C)CCCC,86022633,butyl-dimethyl-octylazanium,214.41,198.5,15,1,0,4.9,129,10,10.0,0,0,18.01,1.91,0.84,1.0,4.0,10,1.0
78,14,CCCCCCCC[N+](CC)(CC)CC,11411485,triethyl(octyl)azanium,214.41,195.3,15,1,0,4.8,119,10,10.0,0,0,12.81,1.91,1.26,1.0,3.0,10,0.8
79,14,CCCCCCC[N+](C)(C)CCCCC,87493941,heptyl-dimethyl-pentylazanium,214.41,198.2,15,1,0,4.9,129,10,10.0,0,0,8.43,4.19,1.21,1.0,3.0,10,1.0
80,14,CCCCCCC[N+](C)(CC)CCCC,146418800,butyl-ethyl-heptyl-methylazanium,214.41,197.0,15,1,0,4.8,133,10,10.0,0,0,11.13,3.4,1.05,1.0,3.0,10,0.8
83,14,CCCCCC[N+](C)(C)CCCCCC,158284,dihexyl(dimethyl)azanium,214.41,198.1,15,1,0,4.9,115,10,10.0,0,0,10.61,4.58,0.95,1.0,4.0,10,0.8
84,14,CCCCCC[N+](C)(CC)CCCCC,87508057,ethyl-hexyl-methyl-pentylazanium,214.41,196.9,15,1,0,4.8,133,10,10.0,0,0,13.27,2.57,1.02,1.0,3.0,10,1.0
85,14,CCCCCC[N+](C)(CCC)CCCC,87507944,butyl-hexyl-methyl-propylazanium,214.41,196.6,15,1,0,4.8,133,10,10.0,0,0,8.92,4.0,1.19,1.0,4.0,10,0.8
86,14,CCCCCC[N+](CC)(CC)CCCC,153996762,butyl-diethyl-hexylazanium,214.41,195.4,15,1,0,4.6,127,10,10.0,0,0,8.18,3.69,1.32,1.0,3.0,10,0.8
87,14,CCCCCC[N+](CC)(CCC)CCC,153959332,ethyl-hexyl-dipropylazanium,214.41,195.4,15,1,0,4.8,125,10,10.0,0,0,8.81,2.75,1.69,1.0,4.0,10,0.8
88,14,CCCCC[N+](C)(CCC)CCCCC,87509148,methyl-dipentyl-propylazanium,214.41,197.0,15,1,0,4.8,121,10,10.0,0,0,10.6,3.4,1.08,1.0,3.0,10,0.8
89,14,CCCCC[N+](C)(CCCC)CCCC,21452154,dibutyl-methyl-pentylazanium,214.41,197.0,15,1,0,4.6,123,10,10.0,0,0,7.66,4.61,1.29,1.0,3.0,10,0.8
90,14,CCCCC[N+](CC)(CC)CCCCC,87534181,diethyl(dipentyl)azanium,214.41,195.7,15,1,0,4.6,115,10,10.0,0,0,5.86,5.53,1.29,1.0,2.0,10,0.8
91,14,CCCCC[N+](CC)(CCC)CCCC,71366278,butyl-ethyl-pentyl-propylazanium,214.41,195.4,15,1,0,4.6,133,10,10.0,0,0,7.69,3.4,1.6,1.0,3.0,10,0.8
92,14,CCCCC[N+](CCC)(CCC)CCC,20376265,pentyl(tripropyl)azanium,214.41,195.3,15,1,0,4.8,114,10,10.0,0,0,6.93,2.73,2.31,1.0,4.0,10,0.8
93,14,CCCC[N+](CC)(CCCC)CCCC,44528,tributyl(ethyl)azanium,214.41,195.0,15,1,0,4.4,110,10,10.0,0,0,6.52,3.48,1.81,1.0,3.0,10,0.8
94,14,CCCC[N+](CCC)(CCC)CCCC,20480844,dibutyl(dipropyl)azanium,214.41,194.9,15,1,0,4.6,115,10,10.0,0,0,6.22,2.89,2.33,1.0,4.0,10,0.8
95,15,CCCCCCCCCCCC[N+](C)(C)C,8153,dodecyl(trimethyl)azanium,228.44,212.9,16,1,0,5.9,135,11,11.0,0,0,28.75,0.95,0.81,1.0,1.0,10,1.0
96,15,CCCCCCCCCCC[N+](C)(C)CC,90351725,ethyl-dimethyl-undecylazanium,228.44,211.3,16,1,0,5.7,140,11,11.0,0,0,25.87,1.14,0.82,1.0,1.0,10,1.2
97,15,CCCCCCCCCC[N+](C)(C)CCC,17915707,decyl-dimethyl-propylazanium,228.44,211.6,16,1,0,5.7,140,11,11.0,0,0,23.9,1.41,0.82,1.0,2.0,10,1.0
