序号,碳数,SMILES
181,12,CCCC[N+](C)(CCC)C(C)(C)C
182,12,CCCC[N+](C)(CCC)CC(C)C
183,12,CCCC[N+](C)(CCC)CCCC
184,12,CCCC[N+](C)(CCCC)C(C)C
185,12,CCCC[N+](CC)(C(C)C)C(C)C
186,12,CCCC[N+](CC)(CC)C(C)(C)C
187,12,CCCC[N+](CC)(CC)CC(C)C
188,12,CCCC[N+](CC)(CC)CCCC
189,12,CCCC[N+](CC)(CCC)C(C)C
190,12,CCCC[N+](CC)(CCC)CCC
191,12,CCC[N+](C(C)C)(C(C)C)C(C)C
192,12,CCC[N+](C)(C(C)(C)C)C(C)(C)C
193,12,CCC[N+](C)(CC(C)C)C(C)(C)C
194,12,CCC[N+](C)(CC(C)C)CC(C)C
195,12,CCC[N+](C)(CC(C)CC)C(C)C
196,12,CCC[N+](C)(CCC(C)C)C(C)C
197,12,CCC[N+](C)(CCC)CC(C)CC
198,12,CCC[N+](C)(CCC)CCC(C)C
199,12,CCC[N+](CC)(C(C)C)C(C)(C)C
200,12,CCC[N+](CC)(CC(C)C)C(C)C
201,12,CCC[N+](CC)(CC)CC(C)CC
202,12,CCC[N+](CC)(CC)CCC(C)C
203,12,CCC[N+](CC)(CCC)C(C)(C)C
204,12,CCC[N+](CC)(CCC)CC(C)C
205,12,CCC[N+](CCC)(C(C)C)C(C)C
206,12,CCC[N+](CCC)(CCC)C(C)C
207,12,CCC[N+](CCC)(CCC)CCC
208,12,CC[N+](C(C)C)(C(C)C)C(C)(C)C
209,12,CC[N+](C)(CCC(C)C)C(C)(C)C
210,12,CC[N+](C)(CCC(C)C)CC(C)C
211,12,CC[N+](CC(C)C)(C(C)C)C(C)C
212,12,CC[N+](CC)(C(C)(C)C)C(C)(C)C
213,12,CC[N+](CC)(CC(C)C)C(C)(C)C
214,12,CC[N+](CC)(CC(C)C)CC(C)C
215,12,CC[N+](CC)(CCC(C)C)C(C)C
216,13,CC(C)(C)[N+](C)(C(C)(C)C)C(C)(C)C
217,13,CC(C)CC[N+](C)(C(C)C)C(C)(C)C
218,13,CC(C)CC[N+](C)(CC(C)C)C(C)C
219,13,CC(C)C[N+](C(C)C)(C(C)C)C(C)C
